ds,yhat_lower,yhat_upper,yhat
2023-05-09,-1.8249792762735666,1.9453917021196374,308.0770340575403
2023-05-10,-1.8043321899118154,1.9382397074772073,308.13282562319955
2023-05-11,-1.8651349151152865,1.7938625172330702,308.1637467357862
2023-05-12,-1.2985939198271081,2.3939548629628824,308.66837542106134
2023-05-13,-1.7682609984593272,1.7939347675065103,308.73600085304656
2023-05-14,-1.6111598527674245,1.8929227206264192,308.8743306445055
2023-05-15,-1.8309014443358227,1.6993542149475973,308.79777939161875
2023-05-16,-1.649950865284688,1.8880636609750816,308.8887245939157
2023-05-17,-1.7235016004940846,1.7924005397886449,308.9386744437075
2023-05-18,-1.771922403740485,1.830665910588536,308.96375384042614
2023-05-19,-1.3594956043875595,2.2503049332371248,309.46254080983255
2023-05-20,-1.7103577507006398,1.7949741407976447,309.5243245259498
2023-05-21,-1.7737912473710291,2.004630762414389,309.65681260154025
2023-05-22,-1.9642528065356595,1.721121915311405,309.5744196327849
2023-05-23,-1.592613741787205,1.9267419139320692,309.6595231192138
2023-05-24,-1.7299351720321903,1.8309211728633807,309.7036312531358
2023-05-25,-1.8152503641983766,1.9072213400888172,309.7228689339856
2023-05-26,-1.2884032919679702,2.383606549949446,310.21581418752294
2023-05-27,-1.8126955452406657,1.8341958774554943,310.27175618777113
2023-05-28,-1.7284677712667136,1.9647362322568271,310.39840254749186
2023-05-29,-1.9071677392190223,1.6025062977406648,310.31016786286693
2023-05-30,-1.7463769615494642,1.8305602599044488,310.38942963342566
2023-05-31,-1.8252535363930396,1.8675433386796036,310.42769605147913
2023-06-01,-1.700780569116562,1.995137856044958,310.44109201646086
2023-06-02,-1.2449633431180096,2.2707194258042023,310.9281955541295
2023-06-03,-1.6505021879069235,1.8717062369921122,310.97829583850864
2023-06-04,-1.723676518305171,1.7912355438893062,311.0991004823609
2023-06-05,-1.935169027246113,1.5134889546087507,311.0050240818674
2023-06-06,-1.6515963223988965,1.6940012460952103,311.0784441365582
2023-06-07,-1.7125841977251566,1.911113096566878,311.110868838743
