ds,yhat_lower,yhat_upper,yhat
2023-12-05,281.42544036249546,394.4458479618812,339.04298358974916
2023-12-06,283.7929729920258,393.4150537932315,339.04298358974916
2023-12-07,275.75323340909125,393.8978441832597,339.04298358974916
2023-12-08,272.7274684476453,390.1140554635273,339.04298358974916
2023-12-09,277.22857583095777,393.41685524829063,339.04298358974916
2023-12-10,277.0643727329347,387.2950707816904,339.04298358974916
2023-12-11,272.98139513093355,392.09839440432205,339.04298358974916
2023-12-12,284.62261695436564,404.82475928591697,340.2243504818077
2023-12-13,279.9957827562241,395.68202199953544,340.2243504818077
2023-12-14,278.69087788314533,394.36983968139623,340.2243504818077
2023-12-15,277.7935484789487,392.02032699095014,340.2243504818077
2023-12-16,270.8434021030881,394.36755569028105,340.2243504818077
2023-12-17,277.7459850115596,393.42822478642125,340.2243504818077
2023-12-18,276.79495457649926,393.12019123837246,340.2243504818077
2023-12-19,283.59271005750537,397.9552640648848,341.4057173738754
2023-12-20,279.1906765320026,395.46484918920254,341.4057173738754
2023-12-21,281.81115684076894,399.1154968718895,341.4057173738754
2023-12-22,278.0465234270839,395.64976607573374,341.4057173738754
2023-12-23,278.2140692558792,399.0839288254293,341.4057173738754
2023-12-24,282.1425407881742,398.85503434083734,341.4057173738754
2023-12-25,278.3415065823125,394.4973592540742,341.4057173738754
2023-12-26,286.4565341520265,403.26207056944907,342.587084265949
2023-12-27,282.8641379819843,400.76047406290286,342.587084265949
2023-12-28,279.6943244263562,388.98616467533844,342.587084265949
2023-12-29,282.47134167678263,397.96774165647184,342.587084265949
2023-12-30,278.62941131510087,397.8981738822102,342.587084265949
2023-12-31,274.31448825612904,393.8635547576326,342.587084265949
2024-01-01,278.2999034658277,395.2216825724584,342.587084265949
2024-01-02,288.35081593196173,403.70148469550855,343.7684511580046
2024-01-03,285.48247469116507,400.46500157240126,343.7684511580046
